    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
        11         3         1    0.0468    0.1406    0.1769    0.6133    0.0426    0.0185  287.2553  243.1872    1.1812
        11         3         1    0.0474    0.1406    0.1784    0.6154    0.0432    0.0191  290.2801  246.4813    1.1777
        11         3         1    0.0480    0.1406    0.1799    0.6174    0.0437    0.0196  293.3300  249.8140    1.1742
        11         3         1    0.0486    0.1406    0.1814    0.6193    0.0443    0.0201  296.4066  253.1862    1.1707
        11         3         1    0.0492    0.1406    0.1828    0.6211    0.0448    0.0207  299.5117  256.5991    1.1672
        11         3         1    0.0497    0.1405    0.1841    0.6229    0.0453    0.0212  302.6469  260.0541    1.1638
        11         3         1    0.0503    0.1404    0.1854    0.6246    0.0458    0.0218  305.8142  263.5525    1.1604
        11         3         1    0.0509    0.1403    0.1866    0.6263    0.0463    0.0224  309.0151  267.0956    1.1569
        11         3         1    0.0515    0.1401    0.1878    0.6278    0.0468    0.0229  312.2515  270.6848    1.1536
        11         3         1    0.0521    0.1400    0.1890    0.6294    0.0473    0.0235  315.5253  274.3216    1.1502
        11         3         1    0.0526    0.1398    0.1901    0.6308    0.0478    0.0241  318.8382  278.0074    1.1469
        11         3         1    0.0240    0.0495    0.1187    0.6296    0.0326    0.0097  275.9651  216.4599    1.2749
        11         3         1    0.0236    0.0453    0.1191    0.6302    0.0330    0.0098  275.2798  216.0248    1.2743
        11         3         1    0.0232    0.0472    0.1159    0.6295    0.0318    0.0093  280.9585  219.9069    1.2776
        11         3         1    0.0549    0.1389    0.1942    0.6362    0.0496    0.0265  332.5197  293.2746    1.1338
        11         3         1    0.0228    0.0435    0.1158    0.6295    0.0320    0.0094  281.7576  220.5112    1.2777
        11         3         1    0.0560    0.1383    0.1960    0.6386    0.0504    0.0277  339.6461  301.2469    1.1275
        11         3         1    0.0223    0.0400    0.1157    0.6295    0.0322    0.0094  282.4613  221.0280    1.2779
        11         3         1    0.0571    0.1377    0.1977    0.6408    0.0513    0.0289  346.9850  309.4654    1.1212
        11         3         1    0.0222    0.0357    0.1184    0.6293    0.0332    0.0098  278.4545  218.1747    1.2763
        11         3         1    0.0583    0.1370    0.1992    0.6429    0.0521    0.0302  354.5539  317.9467    1.1151
        11         3         1    0.0588    0.1367    0.1999    0.6439    0.0524    0.0308  358.4305  322.2915    1.1121
        11         3         1    0.0594    0.1363    0.2007    0.6449    0.0528    0.0315  362.3715  326.7089    1.1092
        11         3         1    0.0599    0.1359    0.2013    0.6458    0.0532    0.0321  366.3797  331.2012    1.1062
        11         3         1    0.0605    0.1356    0.2020    0.6467    0.0535    0.0328  370.4575  335.7713    1.1033
        11         3         1    0.0610    0.1352    0.2026    0.6476    0.0539    0.0334  374.6075  340.4216    1.1004
        11         3         1    0.0616    0.1348    0.2032    0.6484    0.0543    0.0341  378.8326  345.1550    1.0976
        11         3         1    0.0621    0.1344    0.2038    0.6492    0.0546    0.0347  383.1354  349.9744    1.0948
        11         3         1    0.0627    0.1340    0.2043    0.6500    0.0549    0.0354  387.5191  354.8828    1.0920
        11         3         1    0.0632    0.1335    0.2049    0.6508    0.0553    0.0361  391.9865  359.8833    1.0892
        11         3         1    0.0638    0.1331    0.2054    0.6516    0.0556    0.0367  396.5409  364.9792    1.0865
        11         3         1    0.0643    0.1327    0.2059    0.6523    0.0559    0.0374  401.1854  370.1739    1.0838
